Name,Email,Password,Age,Gender,Department,Office,Department Name,Title,Team ID,Teaching
Dr Carlyle Peters,cpe@lionstate.edu,x26uaxzr,42,M,STAT,"227, Building 14",Statistics,Professor,39,STAT414
Dr Roy Fuller,rfu@lionstate.edu,gusbe091,41,M,STAT,"104, Building 14",Statistics,Professor,46,STAT415
Dr Lexis Gardner,lga@lionstate.edu,zrcwnnrz,46,F,ECON,"206, Building 15",Economics,Head,51,ECON101
Dr Welborn Mitchell,wmi@lionstate.edu,9ozcn0sr,55,M,ECON,"236, Building 15",Economics,Professor,20,ECON102
Dr Kourtney Booth,kbo@lionstate.edu,cqw7hrg3,51,M,ECON,"224, Building 15",Economics,Professor,27,ECON201
Dr Finch Foster,ffo@lionstate.edu,9uhmclic,50,F,CHEM,"217, Building 3",Chemistry,Head,10,CHEM110
Dr Royal Parsons,rpa@lionstate.edu,cukoqrzk,44,M,CHEM,"257, Building 3",Chemistry,Professor,31,CHEM111
Dr Konnor Nicholson,kni@lionstate.edu,sekbfhqm,55,M,CHEM,"170, Building 3",Chemistry,Professor,34,CHEM112
Dr Rudd Sullivan,rsu@lionstate.edu,qui392mr,53,M,IST,"195, Building 10",Information Science and Technology,Head,1,IST110
Dr Radcliff Silva,rsi@lionstate.edu,ogmh36q7,56,M,IST,"274, Building 10",Information Science and Technology,Professor,32,IST558
Dr Mina Harding,mha@lionstate.edu,2xzermda,57,F,IST,"184, Building 10",Information Science and Technology,Professor,7,IST128
Dr Jair Woods,jwo@lionstate.edu,x2boxvpo,58,M,DS,"213, Building 6",Data Science,Head,8,DS220
Dr Ralf Reed,rre@lionstate.edu,m56icvld,56,M,DS,"270, Building 6",Data Science,Professor,9,DS120
Dr Marni Amor,mam@lionstate.edu,jlt1x825,56,M,DS,"216, Building 6",Data Science,Professor,22,DS410
