Full Name,Email,Age,Zip,Phone,Gender,City,State,Password,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Type,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Type,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Type,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade
Alexis Schulist,asc2712@lionstate.edu,22,62943,8721850538,M,Grantsburg,Illinois,l55ah9nv,9599 La Sierra St. ,CMPEN,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,79.0,CMPSC360,Discrete Mathematics for CMPSC,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,81.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,88.0
Alicia Harber,aha9325@lionstate.edu,22,62684,8227926780,F,Sherman,Illinois,a1uqkqum,83 Corona Street ,MATH,STAT414,Introduction to Probability Theory,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,,,,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,73.0,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,70.0
Amiya Bogisich II,abo7856@lionstate.edu,18,47360,7939218274,M,Mooreland,Indiana,h18e8b5s,361 E. Sierra Street ,MATH,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,92.0,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,95.0,PHYS214,General Physics: Wave Motion and Quantum Physics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,100.0
Alfredo Trantow,atr9605@lionstate.edu,20,46121,1893023565,F,Coatesville,Indiana,wxl0jmfp,7450 West Manchester Street ,CMPSC,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,76.0,CMPSC221,OOP with Web Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,81.0,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,64.0
Alysson Okuneva,aok9861@lionstate.edu,20,62824,3318636528,F,Clay City,Illinois,o81zf7vv,863 Stillwater Road ,MATH,PHYS212,Solid State Physics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,88.0,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,65.0,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,80.0
Anabel Littel,ali8897@lionstate.edu,22,30277,9062058566,M,Sharpsburg,Georgia,4n61e74y,798 North Euclid Drive ,EE,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,85.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,68.0,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,80.0
Alycia Berge,abe6138@lionstate.edu,20,50244,3098851985,F,Slater,Iowa,frmyglmo,8687 N. Sleepy Hollow Court ,EE,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,,,,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,62.0,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,94.0
Ali Ledner,ale7189@lionstate.edu,19,71602,6758666803,F,White Hall,Arkansas,ougfoqn0,608 North Addison St. ,STAT,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,75.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,91.0,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,70.0
Angela Jast Jr.,aja3132@lionstate.edu,19,33847,4557224936,M,Homeland,Florida,nthuiyec,141 Gulf Rd. ,STAT,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,94.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,81.0,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,65.0
Amely Rohan,aro5704@lionstate.edu,18,39834,2554741695,F,Climax,Georgia,5h880la6,18 Lakeview Street ,PHYS,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,82.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,77.0,1.0,Closed book exam for 100 marks,85.0,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,91.0
Amaya Mosciski,amo7945@lionstate.edu,19,32927,6731949798,F,Cocoa,Florida,wd5xogip,7764 Union Avenue ,CMPSC,CMPSC461,Programming Language Concepts,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,76.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,97.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,72.0
Alexys Stanton,ast1122@lionstate.edu,21,61870,2485721261,M,Ridge Farm,Illinois,93fj0cwc,9659 Rosewood Drive ,EE,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,,,,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,86.0,EE210,Continuous Time Linear Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,60.0
Allene Zulauf,azu5256@lionstate.edu,22,96058,2474237601,M,Macdoel,California,mg8nk8d5,358 Marvon Ave. ,ECON,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,73.0,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,87.0,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,94.0
Alysa Bosco Sr.,abo9166@lionstate.edu,19,62884,3457483321,F,Sesser,Illinois,gjgm1fqt,7529 Old Sunset Road ,EE,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,64.0,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,95.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,87.0
Amie Pacocha,apa5949@lionstate.edu,18,60932,4152623526,M,East Lynn,Illinois,uh69s5qo,608 North Addison St. ,ECON,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,,,,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,,,,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,61.0
Amara Gaylord,aga6525@lionstate.edu,22,30078,3829440069,F,Snellville,Georgia,h5rqfz6v,780 East Redwood Drive ,PHYS,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,90.0,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,73.0,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,85.0
Americo Mitchell,ami4349@lionstate.edu,19,62320,6366913892,M,Camp Point,Illinois,viq0h6xe,9498 Newport Ave. ,MATH,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,80.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,,,,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,,,
Alivia Brown DDS,abr9092@lionstate.edu,21,33035,1214453150,F,Homestead,Florida,tr7phe04,780 East Redwood Drive ,CHEM,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,69.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,85.0,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,88.0
Alexane Hermann,ahe1989@lionstate.edu,21,60613,8035503021,F,Chicago,Illinois,t4v6sg4w,88 Harrison Street ,ECON,IST128,Introduction to Python,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,84.0,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,61.0,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,90.0
Amaya Denesik,ade2931@lionstate.edu,19,62530,5505925647,F,Divernon,Illinois,pt2zj3ku,639 Princeton Rd. ,CHEM,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,61.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,93.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,68.0
Andre Will,awi2065@lionstate.edu,22,51573,7747714736,F,Stanton,Iowa,9gbzyxsk,8687 N. Sleepy Hollow Court ,CMPSC,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,60.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,66.0,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,92.0
Lenna Jewess Sr.,lje9488@lionstate.edu,19,31216,2299506854,F,Macon,Georgia,p7yiphsy,7313 Stillwater Lane ,DS,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,75.0,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,97.0,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,77.0
Rosie Bruen,rbr2525@lionstate.edu,21,61252,7994282824,M,Fulton,Illinois,mn60ih69,453 North Elm Dr. ,CSE,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,76.0,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,86.0,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,92.0
Lorenzo Dickens,ldi6656@lionstate.edu,19,50515,8963281882,M,Ayrshire,Iowa,1vnxmx51,8131 Elizabeth Ave. ,CSE,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,91.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,67.0,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,99.0
Marjorie Dickinson,mdi4539@lionstate.edu,19,32925,5761414752,F,Patrick Afb,Florida,cjiicgr5,963 Court Road ,CMPEN,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,70.0,CMPSC360,Discrete Mathematics for CMPSC,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,96.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,93.0
Keon Fadel,kfa9089@lionstate.edu,21,94601,1983885794,M,Oakland,California,m0bdut14,7764 Union Avenue ,CMPEN,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,89.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,90.0,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,70.0
Penelope Ziemann,pzi2408@lionstate.edu,22,85354,4903891156,F,Tonopah,Arizona,7j7rei4g,185 E. Trenton Street ,STAT,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,79.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,79.0,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,77.0,1.0,Closed book exam for 100 marks,79.0
Maximilian Ruecker,mru3359@lionstate.edu,21,34609,3736806826,M,Spring Hill,Florida,2mjlwhvc,308 Mammoth Dr. ,CSE,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,85.0,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,78.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,70.0,1.0,Closed book exam for 100 marks,78.0
